Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: ian-vyse (bc-uncertainty) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.19.8
wandb: Run data is saved locally in /home/vyseian/GitHub/SAILOR/wandb/run-20260114_191551-p0lotglo
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run robomimic__square/seed0_demos299
wandb: ⭐️ View project at https://wandb.ai/bc-uncertainty/SAILOR_robomimic
wandb: 🚀 View run at https://wandb.ai/bc-uncertainty/SAILOR_robomimic/runs/p0lotglo
[robosuite WARNING] No private macro file found! (macros.py:53)
[robosuite WARNING] It is recommended to use a private macro file (macros.py:54)
[robosuite WARNING] To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robosuite/scripts/setup_macros.py (macros.py:55)
Logdir scratch_dir/logs/robomimic__square/seed0_demos299/seed0
---------------------
Task: robomimic__square
Logging to: scratch_dir/logs/robomimic__square/seed0_demos299/seed0
Time Limit: 500 | Max Env Steps: 756756
---------------------
ROBOMIMIC WARNING(
    No private macro file found!
    It is recommended to use a private macro file
    To setup, run: python /home/vyseian/miniconda3/envs/robomimic_env/lib/python3.10/site-packages/robomimic/scripts/setup_macros.py
)
Initizalizing norm_dict with ob_dim=9 and ac_dim=7
Loaded 299 training episodes
Loaded 1 validation episodes
Min expert demo length: 123
Max expert demo length: 1051
Avg expert demo length: 268.8026755852843
Enviroment State Dim: 9, Action Dim: 7
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Initialized robomimic env with action repeat: 1, time limit: 500
Action Space: Box(-1.0, 1.0, (7,), float32). Low: [-1. -1. -1. -1. -1. -1. -1.]. High: [1. 1. 1. 1. 1. 1. 1.]
----------------No base policy path provided, begin training diffusion policy--------------
DiffusionUnet + ResNet18 has 27272407 parameters
Scheduler Initialized:  <data4robotics.trainers.base.CosineAnnealingWarmupRestarts object at 0x7a5cd8ac1660>
DP Step: 0	Log Step: 0	Loss: 68.08232116699219
DP Step: 4600	Log Step: 4600	Loss: 2.729808807373047
DP Step: 4700	Log Step: 4700	Loss: 3.2310938835144043
DP Step: 4800	Log Step: 4800	Loss: 2.8159689903259277
DP Step: 4900	Log Step: 4900	Loss: 2.931636333465576
DP Step: 5000	Log Step: 5000	Loss: 2.4495348930358887
DP Step: 5100	Log Step: 5100	Loss: 3.0094311237335205
DP Step: 5200	Log Step: 5200	Loss: 2.7545671463012695
DP Step: 5300	Log Step: 5300	Loss: 2.900477409362793
DP Step: 5400	Log Step: 5400	Loss: 2.7293970584869385
DP Step: 5500	Log Step: 5500	Loss: 2.8791122436523438
DP Step: 5600	Log Step: 5600	Loss: 2.223121166229248
DP Step: 5700	Log Step: 5700	Loss: 2.107360363006592
DP Step: 5800	Log Step: 5800	Loss: 2.5369391441345215
DP Step: 5900	Log Step: 5900	Loss: 2.989631414413452
DP Step: 6000	Log Step: 6000	Loss: 2.6357223987579346
DP Step: 6100	Log Step: 6100	Loss: 2.635723114013672
DP Step: 6200	Log Step: 6200	Loss: 1.8643945455551147
DP Step: 6300	Log Step: 6300	Loss: 2.870542287826538
DP Step: 6400	Log Step: 6400	Loss: 2.647472381591797
DP Step: 6500	Log Step: 6500	Loss: 3.117549419403076
DP Step: 6600	Log Step: 6600	Loss: 3.397726535797119
DP Step: 6700	Log Step: 6700	Loss: 2.8514251708984375
DP Step: 6800	Log Step: 6800	Loss: 3.3396377563476562
DP Step: 6900	Log Step: 6900	Loss: 3.484650135040283
DP Step: 7000	Log Step: 7000	Loss: 1.8811701536178589
DP Step: 7100	Log Step: 7100	Loss: 3.5150527954101562
DP Step: 7200	Log Step: 7200	Loss: 2.3722352981567383
DP Step: 7300	Log Step: 7300	Loss: 2.756096363067627
DP Step: 7400	Log Step: 7400	Loss: 2.6194965839385986
DP Step: 7500	Log Step: 7500	Loss: 2.6857118606567383
DP Step: 7600	Log Step: 7600	Loss: 2.722327470779419
DP Step: 7700	Log Step: 7700	Loss: 2.0156779289245605
DP Step: 7800	Log Step: 7800	Loss: 2.339264392852783
DP Step: 7900	Log Step: 7900	Loss: 2.785106897354126
DP Step: 8000	Log Step: 8000	Loss: 2.493726968765259
DP Step: 8100	Log Step: 8100	Loss: 3.429657459259033
DP Step: 8200	Log Step: 8200	Loss: 3.0951695442199707
DP Step: 8300	Log Step: 8300	Loss: 4.842523574829102
DP Step: 8400	Log Step: 8400	Loss: 2.3081352710723877
DP Step: 8500	Log Step: 8500	Loss: 2.654233932495117
DP Step: 8600	Log Step: 8600	Loss: 3.127167224884033
DP Step: 8700	Log Step: 8700	Loss: 3.627009391784668
DP Step: 8800	Log Step: 8800	Loss: 3.1997361183166504
DP Step: 8900	Log Step: 8900	Loss: 2.4697060585021973
DP Step: 9000	Log Step: 9000	Loss: 2.804152011871338
DP Step: 9100	Log Step: 9100	Loss: 2.510529041290283
DP Step: 9200	Log Step: 9200	Loss: 2.1759040355682373
DP Step: 9300	Log Step: 9300	Loss: 2.9606571197509766
DP Step: 9400	Log Step: 9400	Loss: 2.3124778270721436
DP Step: 9500	Log Step: 9500	Loss: 2.7747082710266113
DP Step: 9600	Log Step: 9600	Loss: 2.5749683380126953
DP Step: 9700	Log Step: 9700	Loss: 2.4651761054992676
DP Step: 9800	Log Step: 9800	Loss: 1.4827364683151245
DP Step: 9900	Log Step: 9900	Loss: 3.497110366821289
DP Step: 10000	Log Step: 10000	Loss: 3.3034191131591797
DP Step: 10100	Log Step: 10100	Loss: 2.0322256088256836
DP Step: 10200	Log Step: 10200	Loss: 3.1142590045928955
DP Step: 10300	Log Step: 10300	Loss: 2.6840572357177734
DP Step: 10400	Log Step: 10400	Loss: 2.104302406311035
DP Step: 10500	Log Step: 10500	Loss: 2.825610637664795
DP Step: 10600	Log Step: 10600	Loss: 2.8386402130126953
DP Step: 10700	Log Step: 10700	Loss: 2.060861587524414
DP Step: 10800	Log Step: 10800	Loss: 2.810929536819458
DP Step: 10900	Log Step: 10900	Loss: 2.5879807472229004
DP Step: 11000	Log Step: 11000	Loss: 2.58621883392334
DP Step: 11100	Log Step: 11100	Loss: 2.7557573318481445
DP Step: 11200	Log Step: 11200	Loss: 2.908289670944214
DP Step: 11300	Log Step: 11300	Loss: 2.8483874797821045
DP Step: 11400	Log Step: 11400	Loss: 2.423435688018799
DP Step: 11500	Log Step: 11500	Loss: 2.148750066757202
DP Step: 11600	Log Step: 11600	Loss: 1.9487323760986328
DP Step: 11700	Log Step: 11700	Loss: 1.9151105880737305
DP Step: 11800	Log Step: 11800	Loss: 2.795959949493408
DP Step: 11900	Log Step: 11900	Loss: 2.4678449630737305
DP Step: 12000	Log Step: 12000	Loss: 1.6122610569000244
Storing model weights params and loading EMA to model.
Validation BC Loss: 2.178254448935846
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.5
	Average Total Reward: -279.9945264666559
	Average Episode Length: 367.8
	Average Total Orig Reward: 88.30547353334421
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.6
	Average Total Reward: -270.27867044556893
	Average Episode Length: 343.9
	Average Total Orig Reward: 74.22132955443091
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.8
	Average Total Reward: -217.2889089699413
	Average Episode Length: 302.8
	Average Total Orig Reward: 86.31109103005869
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.4
	Average Total Reward: -353.6553031966392
	Average Episode Length: 407.8
	Average Total Orig Reward: 54.54469680336011
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.5
	Average Total Reward: -248.83859727270087
	Average Episode Length: 360.8
	Average Total Orig Reward: 112.46140272729903
Average Success Rate: 0.56
Average Total Average Reward: -274.0112012703012
Average Episode Length: 356.62
Average Total Average Orig Reward: 83.1687987296986
Time taken: 393.5604782104492
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 12000
DP Step: 12100	Log Step: 12100	Loss: 2.121185779571533
DP Step: 12200	Log Step: 12200	Loss: 2.753969669342041
DP Step: 12300	Log Step: 12300	Loss: 2.6505918502807617
DP Step: 12400	Log Step: 12400	Loss: 2.9669671058654785
DP Step: 12500	Log Step: 12500	Loss: 2.3769710063934326
DP Step: 12600	Log Step: 12600	Loss: 2.0900232791900635
DP Step: 12700	Log Step: 12700	Loss: 2.3090808391571045
DP Step: 12800	Log Step: 12800	Loss: 3.0260324478149414
DP Step: 12900	Log Step: 12900	Loss: 2.2643637657165527
DP Step: 13000	Log Step: 13000	Loss: 2.244459867477417
DP Step: 13100	Log Step: 13100	Loss: 2.492262840270996
DP Step: 13200	Log Step: 13200	Loss: 1.9038848876953125
DP Step: 13300	Log Step: 13300	Loss: 2.471839427947998
DP Step: 13400	Log Step: 13400	Loss: 2.5226712226867676
DP Step: 13500	Log Step: 13500	Loss: 2.375356674194336
DP Step: 13600	Log Step: 13600	Loss: 2.4967124462127686
DP Step: 13700	Log Step: 13700	Loss: 2.7716832160949707
DP Step: 13800	Log Step: 13800	Loss: 2.640019416809082
DP Step: 13900	Log Step: 13900	Loss: 2.344369888305664
DP Step: 14000	Log Step: 14000	Loss: 1.6684389114379883
DP Step: 14100	Log Step: 14100	Loss: 1.6420040130615234
DP Step: 14200	Log Step: 14200	Loss: 2.814826011657715
DP Step: 14300	Log Step: 14300	Loss: 1.7485301494598389
DP Step: 14400	Log Step: 14400	Loss: 1.984492301940918
DP Step: 14500	Log Step: 14500	Loss: 1.9407012462615967
DP Step: 14600	Log Step: 14600	Loss: 1.7529544830322266
DP Step: 14700	Log Step: 14700	Loss: 3.0032308101654053
DP Step: 14800	Log Step: 14800	Loss: 2.149425506591797
DP Step: 14900	Log Step: 14900	Loss: 2.2827281951904297
DP Step: 15000	Log Step: 15000	Loss: 1.8675733804702759
DP Step: 15100	Log Step: 15100	Loss: 1.674560546875
DP Step: 15200	Log Step: 15200	Loss: 2.4463462829589844
DP Step: 15300	Log Step: 15300	Loss: 2.2828497886657715
DP Step: 15400	Log Step: 15400	Loss: 1.8033052682876587
DP Step: 15500	Log Step: 15500	Loss: 1.6047885417938232
DP Step: 15600	Log Step: 15600	Loss: 2.0663299560546875
DP Step: 15700	Log Step: 15700	Loss: 1.323275089263916
DP Step: 15800	Log Step: 15800	Loss: 2.517897605895996
DP Step: 15900	Log Step: 15900	Loss: 1.922464370727539
DP Step: 16000	Log Step: 16000	Loss: 1.5944209098815918
DP Step: 16100	Log Step: 16100	Loss: 2.288193941116333
DP Step: 16200	Log Step: 16200	Loss: 2.5066535472869873
DP Step: 16300	Log Step: 16300	Loss: 2.263960838317871
DP Step: 16400	Log Step: 16400	Loss: 1.761014461517334
DP Step: 16500	Log Step: 16500	Loss: 2.8307230472564697
DP Step: 16600	Log Step: 16600	Loss: 1.8242472410202026
DP Step: 16700	Log Step: 16700	Loss: 3.651367664337158
DP Step: 16800	Log Step: 16800	Loss: 2.645057201385498
DP Step: 16900	Log Step: 16900	Loss: 2.1116819381713867
DP Step: 17000	Log Step: 17000	Loss: 2.7818427085876465
DP Step: 17100	Log Step: 17100	Loss: 2.6849632263183594
DP Step: 17200	Log Step: 17200	Loss: 1.850326418876648
DP Step: 17300	Log Step: 17300	Loss: 1.7005525827407837
DP Step: 17400	Log Step: 17400	Loss: 1.942264437675476
DP Step: 17500	Log Step: 17500	Loss: 2.5365920066833496
DP Step: 17600	Log Step: 17600	Loss: 2.375554084777832
DP Step: 17700	Log Step: 17700	Loss: 2.321812629699707
DP Step: 17800	Log Step: 17800	Loss: 2.5121521949768066
DP Step: 17900	Log Step: 17900	Loss: 2.040062427520752
DP Step: 18000	Log Step: 18000	Loss: 1.6752257347106934
DP Step: 18100	Log Step: 18100	Loss: 2.6213455200195312
DP Step: 18200	Log Step: 18200	Loss: 2.2130379676818848
DP Step: 18300	Log Step: 18300	Loss: 2.474642515182495
DP Step: 18400	Log Step: 18400	Loss: 1.946115255355835
DP Step: 18500	Log Step: 18500	Loss: 2.8186323642730713
DP Step: 18600	Log Step: 18600	Loss: 2.5611062049865723
DP Step: 18700	Log Step: 18700	Loss: 1.6562294960021973
DP Step: 18800	Log Step: 18800	Loss: 2.371224880218506
DP Step: 18900	Log Step: 18900	Loss: 1.3780654668807983
DP Step: 19000	Log Step: 19000	Loss: 1.8047274351119995
DP Step: 19100	Log Step: 19100	Loss: 2.015889883041382
DP Step: 19200	Log Step: 19200	Loss: 2.3295888900756836
DP Step: 19300	Log Step: 19300	Loss: 1.8690112829208374
DP Step: 19400	Log Step: 19400	Loss: 1.8822460174560547
DP Step: 19500	Log Step: 19500	Loss: 1.7676756381988525
DP Step: 19600	Log Step: 19600	Loss: 1.6698766946792603
DP Step: 19700	Log Step: 19700	Loss: 1.1875076293945312
DP Step: 19800	Log Step: 19800	Loss: 1.9993340969085693
DP Step: 19900	Log Step: 19900	Loss: 2.070422887802124
DP Step: 20000	Log Step: 20000	Loss: 1.7776527404785156
DP Step: 20100	Log Step: 20100	Loss: 1.6345618963241577
DP Step: 20200	Log Step: 20200	Loss: 2.522698402404785
DP Step: 20300	Log Step: 20300	Loss: 1.6956748962402344
DP Step: 20400	Log Step: 20400	Loss: 1.8270902633666992
DP Step: 20500	Log Step: 20500	Loss: 2.3855667114257812
DP Step: 20600	Log Step: 20600	Loss: 1.8514453172683716
DP Step: 20700	Log Step: 20700	Loss: 2.3966264724731445
DP Step: 20800	Log Step: 20800	Loss: 2.509662628173828
DP Step: 20900	Log Step: 20900	Loss: 1.7476009130477905
DP Step: 21000	Log Step: 21000	Loss: 1.0521612167358398
DP Step: 21100	Log Step: 21100	Loss: 2.034611701965332
DP Step: 21200	Log Step: 21200	Loss: 2.069293260574341
DP Step: 21300	Log Step: 21300	Loss: 1.528186559677124
DP Step: 21400	Log Step: 21400	Loss: 1.6015244722366333
DP Step: 21500	Log Step: 21500	Loss: 1.4762678146362305
DP Step: 21600	Log Step: 21600	Loss: 1.7133861780166626
DP Step: 21700	Log Step: 21700	Loss: 1.8877418041229248
DP Step: 21800	Log Step: 21800	Loss: 2.021425485610962
DP Step: 21900	Log Step: 21900	Loss: 1.302710771560669
DP Step: 22000	Log Step: 22000	Loss: 1.646958351135254
DP Step: 22100	Log Step: 22100	Loss: 1.46754789352417
DP Step: 22200	Log Step: 22200	Loss: 1.940861463546753
DP Step: 22300	Log Step: 22300	Loss: 2.3902225494384766
DP Step: 22400	Log Step: 22400	Loss: 1.2779161930084229
DP Step: 22500	Log Step: 22500	Loss: 1.3207824230194092
DP Step: 22600	Log Step: 22600	Loss: 1.5902042388916016
DP Step: 22700	Log Step: 22700	Loss: 1.4878644943237305
DP Step: 22800	Log Step: 22800	Loss: 1.2152624130249023
DP Step: 22900	Log Step: 22900	Loss: 1.8692326545715332
DP Step: 23000	Log Step: 23000	Loss: 1.1927754878997803
DP Step: 23100	Log Step: 23100	Loss: 1.8251603841781616
DP Step: 23200	Log Step: 23200	Loss: 1.4894299507141113
DP Step: 23300	Log Step: 23300	Loss: 1.6000890731811523
DP Step: 23400	Log Step: 23400	Loss: 1.7121268510818481
DP Step: 23500	Log Step: 23500	Loss: 1.456045389175415
DP Step: 23600	Log Step: 23600	Loss: 2.010891914367676
DP Step: 23700	Log Step: 23700	Loss: 1.4962899684906006
DP Step: 23800	Log Step: 23800	Loss: 0.8640512228012085
DP Step: 23900	Log Step: 23900	Loss: 1.334700584411621
DP Step: 24000	Log Step: 24000	Loss: 1.4746330976486206
Storing model weights params and loading EMA to model.
Validation BC Loss: 1.5483976486333566
Evaluating Agent num_eval_runs: 50, num_envs: 10, NUM_RUNS: 5
Seed: 0
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 0
	Average Success Rate: 0.5
	Average Total Reward: -297.5613309562115
	Average Episode Length: 365.8
	Average Total Orig Reward: 68.73866904378853
Seed: 1
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 1
	Average Success Rate: 0.5
	Average Total Reward: -333.6229251362098
	Average Episode Length: 405.3
	Average Total Orig Reward: 72.17707486379032
Seed: 2
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 2
	Average Success Rate: 0.5
	Average Total Reward: -323.67904922367154
	Average Episode Length: 385.9
	Average Total Orig Reward: 62.720950776328365
Seed: 3
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 3
	Average Success Rate: 0.6
	Average Total Reward: -237.1648619513707
	Average Episode Length: 336.7
	Average Total Orig Reward: 100.13513804862933
Seed: 4
Storing model weights params and loading EMA to model.
EVALUATING 10 ENVIRONMENTS on SEED 4
	Average Success Rate: 0.3
	Average Total Reward: -311.56228385474395
	Average Episode Length: 415.2
	Average Total Orig Reward: 103.93771614525599
Average Success Rate: 0.48
Average Total Average Reward: -300.7180902244415
Average Episode Length: 381.78000000000003
Average Total Average Orig Reward: 81.54190977555852
Time taken: 402.309850692749
Restoring model weights from EMA.
Checkpoint saved to scratch_dir/logs/robomimic__square/seed0_demos299/seed0/DP_Pretrain_base_policy_latest.pt at step 24000
DP Step: 24100	Log Step: 24100	Loss: 2.4391534328460693
DP Step: 24200	Log Step: 24200	Loss: 2.932094097137451
DP Step: 24300	Log Step: 24300	Loss: 1.9039114713668823
DP Step: 24400	Log Step: 24400	Loss: 2.834648370742798
DP Step: 24500	Log Step: 24500	Loss: 2.2103075981140137
DP Step: 24600	Log Step: 24600	Loss: 1.933887004852295
DP Step: 24700	Log Step: 24700	Loss: 2.609745740890503
DP Step: 24800	Log Step: 24800	Loss: 3.123551845550537
DP Step: 24900	Log Step: 24900	Loss: 2.165485382080078
DP Step: 25000	Log Step: 25000	Loss: 1.8515714406967163
DP Step: 25100	Log Step: 25100	Loss: 1.918346881866455
DP Step: 25200	Log Step: 25200	Loss: 2.223572254180908
DP Step: 25300	Log Step: 25300	Loss: 2.1938376426696777
DP Step: 25400	Log Step: 25400	Loss: 2.6502466201782227
DP Step: 25500	Log Step: 25500	Loss: 1.981105089187622
DP Step: 25600	Log Step: 25600	Loss: 1.9796156883239746
DP Step: 25700	Log Step: 25700	Loss: 1.7500227689743042
DP Step: 25800	Log Step: 25800	Loss: 2.1419620513916016
DP Step: 25900	Log Step: 25900	Loss: 2.5204319953918457
DP Step: 26000	Log Step: 26000	Loss: 1.8359870910644531
DP Step: 26100	Log Step: 26100	Loss: 1.5282530784606934
DP Step: 26200	Log Step: 26200	Loss: 3.1896910667419434
DP Step: 26300	Log Step: 26300	Loss: 1.3173298835754395
DP Step: 26400	Log Step: 26400	Loss: 2.0507254600524902
DP Step: 26500	Log Step: 26500	Loss: 2.0442497730255127
DP Step: 26600	Log Step: 26600	Loss: 1.464460849761963
DP Step: 26700	Log Step: 26700	Loss: 2.5545778274536133
DP Step: 26800	Log Step: 26800	Loss: 1.9575954675674438
DP Step: 26900	Log Step: 26900	Loss: 2.2023885250091553
DP Step: 27000	Log Step: 27000	Loss: 1.5759268999099731
DP Step: 27100	Log Step: 27100	Loss: 1.533642292022705
DP Step: 27200	Log Step: 27200	Loss: 2.4988763332366943
DP Step: 27300	Log Step: 27300	Loss: 2.2352328300476074
DP Step: 27400	Log Step: 27400	Loss: 1.3917292356491089
DP Step: 27500	Log Step: 27500	Loss: 1.3612258434295654
DP Step: 27600	Log Step: 27600	Loss: 1.6159217357635498
DP Step: 27700	Log Step: 27700	Loss: 1.4516346454620361
DP Step: 27800	Log Step: 27800	Loss: 2.2673068046569824
DP Step: 27900	Log Step: 27900	Loss: 1.8837735652923584
DP Step: 28000	Log Step: 28000	Loss: 1.3168082237243652
DP Step: 28100	Log Step: 28100	Loss: 1.3331272602081299
DP Step: 28200	Log Step: 28200	Loss: 1.4557995796203613
DP Step: 28300	Log Step: 28300	Loss: 1.523332118988037
DP Step: 28400	Log Step: 28400	Loss: 1.230728268623352
DP Step: 28500	Log Step: 28500	Loss: 1.8308311700820923
DP Step: 28600	Log Step: 28600	Loss: 1.298279881477356
DP Step: 28700	Log Step: 28700	Loss: 2.831052780151367
DP Step: 28800	Log Step: 28800	Loss: 1.5538561344146729
DP Step: 28900	Log Step: 28900	Loss: 1.6627269983291626
DP Step: 29000	Log Step: 29000	Loss: 1.5121114253997803
DP Step: 29100	Log Step: 29100	Loss: 1.5202988386154175
DP Step: 29200	Log Step: 29200	Loss: 1.0352210998535156
DP Step: 29300	Log Step: 29300	Loss: 1.4203829765319824
DP Step: 29400	Log Step: 29400	Loss: 0.7885020971298218
DP Step: 29500	Log Step: 29500	Loss: 1.5795320272445679
DP Step: 29600	Log Step: 29600	Loss: 1.5198091268539429
DP Step: 29700	Log Step: 29700	Loss: 1.6090103387832642
DP Step: 29800	Log Step: 29800	Loss: 1.8788433074951172
DP Step: 29900	Log Step: 29900	Loss: 1.39208984375
DP Step: 30000	Log Step: 30000	Loss: 1.3412187099456787
DP Step: 30100	Log Step: 30100	Loss: 1.9524023532867432
DP Step: 30200	Log Step: 30200	Loss: 1.4586756229400635
